iter	Passed	Remaining
0	1	1312
1	2	1285
2	3	1296
3	5	1286
4	7	1412
5	8	1391
6	9	1371
7	11	1366
8	12	1353
9	13	1336
10	14	1331
11	16	1337
12	18	1366
13	19	1354
14	20	1351
15	21	1345
16	23	1339
17	24	1336
18	25	1333
19	27	1327
20	28	1348
21	30	1344
22	31	1337
23	32	1333
24	34	1329
25	35	1325
26	36	1321
27	37	1318
28	39	1315
29	40	1311
30	41	1307
31	43	1306
32	44	1301
33	45	1297
34	46	1295
35	48	1295
36	49	1293
37	51	1291
38	52	1287
39	53	1285
40	54	1283
41	56	1280
42	57	1280
43	58	1277
44	60	1276
45	61	1274
46	62	1272
47	64	1270
48	65	1269
49	66	1268
50	68	1268
51	69	1266
52	71	1275
53	72	1273
54	73	1270
55	75	1267
56	76	1265
57	77	1264
58	79	1262
59	80	1260
60	81	1259
61	83	1257
62	84	1255
63	85	1254
64	87	1253
65	88	1251
66	89	1249
67	91	1247
68	92	1246
69	93	1244
70	94	1242
71	96	1240
72	97	1239
73	98	1237
74	100	1236
75	101	1234
76	102	1230
77	104	1229
78	105	1228
79	106	1226
80	107	1224
81	109	1224
82	110	1223
83	111	1220
84	113	1218
85	114	1216
86	115	1213
87	117	1222
88	120	1231
89	121	1231
90	123	1229
91	124	1228
92	125	1227
93	127	1226
94	128	1224
95	129	1222
96	131	1221
97	132	1220
98	133	1218
99	135	1220
100	136	1219
101	138	1217
102	139	1216
103	141	1215
104	142	1214
105	144	1218
106	145	1217
107	147	1215
108	148	1214
109	149	1212
110	151	1210
111	152	1209
112	153	1207
113	155	1205
114	156	1204
115	157	1202
116	159	1201
117	160	1200
118	161	1198
119	163	1196
120	164	1195
121	165	1193
122	167	1192
123	168	1190
124	169	1187
125	170	1185
126	172	1185
127	173	1184
128	174	1181
129	176	1179
130	177	1177
131	178	1176
132	180	1175
133	181	1173
134	182	1171
135	184	1170
136	185	1169
137	186	1167
138	188	1166
139	189	1163
140	190	1163
141	192	1161
142	193	1160
143	194	1158
144	196	1156
145	197	1155
146	198	1154
147	200	1152
148	201	1151
149	202	1149
150	204	1147
151	205	1145
152	206	1144
153	208	1142
154	209	1141
155	210	1140
156	212	1138
157	213	1137
158	214	1135
159	216	1134
160	217	1134
161	219	1133
162	220	1131
163	221	1130
164	223	1128
165	224	1127
166	225	1125
167	226	1123
168	228	1123
169	229	1122
170	231	1121
171	232	1120
172	233	1118
173	235	1117
174	236	1115
175	238	1114
176	239	1113
177	240	1112
178	242	1110
179	243	1109
180	244	1108
181	246	1106
182	247	1106
183	249	1105
184	250	1103
185	251	1102
186	253	1100
187	254	1099
188	255	1097
189	257	1096
190	258	1095
191	259	1093
192	261	1092
193	262	1090
194	263	1089
195	265	1087
196	266	1086
197	267	1085
198	269	1084
199	270	1083
200	272	1082
201	273	1081
202	274	1079
203	276	1078
204	277	1076
205	279	1075
206	280	1073
207	281	1072
208	283	1071
209	284	1069
210	285	1068
211	287	1067
212	288	1065
213	290	1065
214	291	1063
215	292	1062
216	293	1060
217	295	1059
218	296	1058
219	298	1057
220	299	1056
221	300	1054
222	302	1052
223	303	1051
224	304	1050
225	306	1048
226	307	1046
227	308	1045
228	310	1044
229	311	1043
230	312	1041
231	314	1040
232	315	1038
233	316	1037
234	318	1036
235	319	1034
236	320	1033
237	322	1031
238	323	1030
239	324	1029
240	326	1027
241	327	1025
242	328	1024
243	330	1023
244	331	1021
245	332	1020
246	334	1018
247	335	1017
248	336	1016
249	338	1014
250	339	1013
251	340	1011
252	342	1010
253	343	1008
254	344	1007
255	346	1006
256	347	1004
257	349	1003
258	350	1002
259	351	1000
260	353	999
261	354	998
262	355	996
263	356	995
264	358	993
265	359	992
266	361	991
267	362	989
268	363	988
269	365	986
270	366	985
271	367	984
272	368	982
273	370	981
274	371	980
275	373	978
276	374	977
277	375	976
278	377	975
279	378	973
280	380	972
281	381	971
282	383	970
283	384	968
284	385	967
285	386	966
286	388	965
287	389	963
288	391	962
289	392	961
290	393	959
291	395	957
292	396	956
293	397	955
294	399	953
295	400	952
296	401	950
297	403	949
298	404	948
299	405	947
300	407	945
301	408	944
302	410	943
303	411	942
304	412	940
305	414	939
306	415	937
307	416	936
308	418	935
309	419	934
310	421	932
311	422	931
312	423	929
313	424	928
314	426	926
315	427	925
316	428	923
317	430	922
318	431	921
319	432	919
320	434	918
321	435	917
322	437	915
323	438	914
324	439	913
325	441	911
326	442	910
327	443	909
328	445	908
329	446	906
330	447	905
331	449	904
332	450	902
333	451	901
334	453	900
335	454	898
336	456	897
337	457	896
338	458	894
339	460	893
340	461	891
341	463	891
342	464	889
343	465	888
344	467	886
345	468	885
346	469	884
347	471	882
348	472	881
349	473	879
350	475	878
351	476	877
352	477	875
353	479	874
354	480	873
355	481	871
356	483	870
357	484	868
358	485	867
359	487	866
360	488	864
361	489	863
362	491	861
363	492	860
364	493	859
365	495	857
366	496	856
367	498	855
368	499	853
369	500	852
370	501	850
371	503	849
372	504	847
373	505	846
374	506	844
375	508	843
376	509	842
377	510	840
378	512	839
379	513	837
380	514	836
381	516	835
382	517	833
383	518	832
384	520	830
385	521	829
386	522	827
387	524	826
388	525	825
389	526	823
390	528	822
391	529	820
392	530	819
393	531	818
394	533	816
395	534	815
396	536	814
397	537	812
398	538	811
399	540	810
400	541	808
401	542	807
402	544	805
403	545	804
404	546	803
405	547	801
406	549	800
407	550	798
408	551	797
409	553	795
410	554	794
411	555	792
412	556	791
413	558	790
414	559	788
415	560	787
416	562	785
417	563	784
418	564	783
419	566	781
420	567	780
421	568	778
422	570	777
423	571	776
424	572	775
425	574	773
426	575	772
427	576	771
428	578	769
429	579	768
430	581	767
431	582	766
432	583	764
433	585	763
434	586	762
435	588	760
436	589	759
437	590	758
438	592	756
439	593	755
440	595	754
441	596	752
442	597	751
443	599	750
444	600	749
445	601	747
446	603	746
447	604	745
448	606	743
449	607	742
450	608	741
451	610	739
452	611	738
453	613	737
454	614	736
455	616	734
456	617	733
457	618	732
458	619	730
459	621	729
460	622	728
461	624	727
462	625	725
463	627	724
464	628	723
465	629	721
466	631	720
467	632	719
468	633	717
469	635	716
470	636	715
471	637	713
472	639	712
473	640	710
474	642	709
475	643	708
476	644	706
477	646	705
478	647	704
479	648	702
480	650	702
481	652	700
482	653	699
483	654	698
484	656	696
485	657	695
486	659	694
487	660	692
488	661	691
489	663	690
490	664	688
491	665	687
492	667	686
493	668	684
494	669	683
495	671	681
496	672	680
497	673	679
498	674	677
499	676	676
500	677	674
501	678	673
502	680	672
503	681	670
504	682	669
505	684	667
506	685	666
507	686	665
508	688	663
509	689	662
510	690	661
511	692	659
512	693	658
513	695	657
514	696	655
515	697	654
516	699	653
517	700	651
518	701	650
519	703	649
520	704	647
521	705	646
522	707	645
523	708	643
524	710	642
525	711	641
526	712	639
527	714	638
